Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~STM32F103.PrjPcb|ReportField=ProjectFullPath~C:\Users\liuym\Desktop\毕设\project\STM32F103\STM32F103.PrjPcb|ReportField=Title~Bill of Materials For Project [STM32F103.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~16:46:09|ReportField=ReportDate~2019/12/25|ReportField=ReportDateTime~2019/12/25 16:46:09|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~24|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2019/12/25|ReportField=CurrentTime~16:46:05|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\liuym\Desktop\毕设\project\STM32F103\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2019/1/3|ReportField=Organization~|ReportField=ProjectName~STM32F103.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~STM32F103.PrjPcb|ReportField=DataSourceFullPath~C:\Users\liuym\Desktop\毕设\project\STM32F103\STM32F103.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|10uF|Polarized Capacitor (Radial)|C1|0805C|Cap Pol|1
2|0.1UF|Capacitor|C2, C3, C4, C5, C8, C9|0805C|Cap|6
3|22PF|Capacitor|C6, C7|0805C|Cap|2
4|LED||D1, D2|LED0805|LED|2
5|Header 13X2|Header, 13-Pin, Dual row|P1, P2|HDR2X13|Header 13X2|2
6|Header 4X1|Header, 4-Pin, Right Angle|P3|HDR1X4|Header 4X1|1
7|Header 3X2|Header, 3-Pin, Dual row|P4, P5|HDR2X3|Header 3X2|2
8|1K|Resistor|R1, R2, R4|0805R|Res|3
9|10K|Resistor|R3|0805R|Res|1
10|KEY||S1|KEY_SOP_3X6X2.2MM|KEY|1
11|STM32F103RBT6_1|ARM Cortex-M3 32-bit MCU, 128 KB Flash, 20 KB Internal RAM, 51 I/Os, 64-pin LQFP, -40 to 85 degC, Tray|U1|STM-LQFP64_N|STM32F103RBT6_1|1
12|REG1117_3.3||U2|SOT223_N|Vlot_Reg|1
13|8M|Crystal Oscillator|Y1|OSC2PR-1|XTAL|1
